001543777129473 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   2   1   0   0   5 ]
001543777129474 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   1   4 ]
001543777129474 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   2   3 ]
001543777129475 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   3   2 ]
001543777129476 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   4   1 ]
001543777129476 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   5   0 ]
001543777129478 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   2   1   0   5   0 ]
001543777129686 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   4   0 ]
001543777129686 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   3   1   0   4   0 ]
001543777129874 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   3   1   0   4   0 ]
001543777129890 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   3   1   0   3   0 ]
001543777129891 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   3   1   0   3   1 ]
001543777129934 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   3   1   0   2   1 ]
001543777129934 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   3   1   0   2   2 ]
001543777129958 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   3   1   0   2   2 ]
001543777130046 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   3   1   0   1   2 ]
001543777130052 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  1   3   1   0   2   1 ]
001543777130068 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  2   3   1   0   1   1 ]
001543777130301 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  2   3   1   0   2   0 ]
001543777130380 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  1   4   1   0   2   0 ]
001543777130436 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   4   1   0   2   1 ]
001543777130465 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   4   1   0   1   1 ]
001543777130523 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  2   4   1   0   0   1 ]
001543777130524 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  2   3   0   1   0   1 ]
001543777130546 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  1   3   0   1   0   2 ]
001543777130605 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   3   0   1   0   3 ]
001543777130637 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   3   0   1   0   3 ]
001543777130687 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   3   0   1   0   3 ]
001543777130706 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   3   0   1   0   3 ]
001543777130743 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   3   0   1   0   3 ]
001543777130946 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   3   0   1   0   3 ]
001543777131032 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   3   0   1   0   3 ]
001543777131047 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   3   1   0   0   3 ]
001543777131047 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  1   2   0   1   0   3 ]
001543777131048 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   2   0   1   0   4 ]
001543777131181 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   2   0   1   0   4 ]
